period,uf,filename,source_url,accessed_at,last_modified,etag,remote_size_bytes,local_relative_path,local_size_bytes,sha256,status,error_class
202112,AC,pda-024-icb-AC-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-AC-2021_12.zip,2026-08-23T09:03:21.592118+00:00,,,,202112/pda-024-icb-AC-2021_12.zip,376941,12e19a0b4dcf1a5429a5d73cc392c7a820ea7b42ab5bae607c84478582bfcaac,complete,
202112,AL,pda-024-icb-AL-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-AL-2021_12.zip,2026-08-23T09:03:27.037480+00:00,"Wed, 05 Aug 2026 12:12:10 GMT","""2db0f7-6584bae4f6353""",2994423,202112/pda-024-icb-AL-2021_12.zip,2994423,7ac7054ac5141c9d4fe78f5a741131adb85682e0a8af1dbd2b88f5c77e96f868,complete,
202112,AM,pda-024-icb-AM-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-AM-2021_12.zip,2026-08-23T09:03:37.320119+00:00,"Wed, 05 Aug 2026 12:12:10 GMT","""15d316-6584bae55c429""",1430294,202112/pda-024-icb-AM-2021_12.zip,1430294,00aa928a118c0d2b7c5f9f5690eb03226e11961be167d2c26dc443126872792c,complete,
202112,AP,pda-024-icb-AP-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-AP-2021_12.zip,2026-08-23T09:03:42.202142+00:00,"Wed, 05 Aug 2026 12:12:11 GMT","""6fb2a-6584bae58546c""",457514,202112/pda-024-icb-AP-2021_12.zip,457514,3de77d692cfaaef9f5f3d54b9c4d9310cd7499cedf939ecbe4325682af3cf909,complete,
202112,BA,pda-024-icb-BA-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-BA-2021_12.zip,2026-08-23T09:03:55.268520+00:00,"Wed, 05 Aug 2026 12:12:19 GMT","""e28d17-6584baedbd4fd""",14847255,202112/pda-024-icb-BA-2021_12.zip,14847255,8d932808598612f7c859a11727867635ba297b2d715b8bdacaa78bf3ce994848,complete,
202112,CE,pda-024-icb-CE-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-CE-2021_12.zip,2026-08-23T10:56:13.961487+00:00,"Wed, 05 Aug 2026 12:12:28 GMT","""6d028a-6584baf646e43""",7144074,202112/pda-024-icb-CE-2021_12.zip,7144074,2f31400b55aaa7307fa14c4aa2c18e979535d2cf0fb84b481fda60ca1edd8b00,complete,
202112,DF,pda-024-icb-DF-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-DF-2021_12.zip,2026-08-23T10:56:24.907148+00:00,"Wed, 05 Aug 2026 12:12:20 GMT","""26515a-6584baee5e727""",2511194,202112/pda-024-icb-DF-2021_12.zip,2511194,afcb37d271b95b68c100658aa74c9a23de147e09be5137871181b654018006f3,complete,
202112,ES,pda-024-icb-ES-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-ES-2021_12.zip,2026-08-23T10:56:33.708936+00:00,"Wed, 05 Aug 2026 12:12:13 GMT","""84be07-6584bae7a6b1d""",8699399,202112/pda-024-icb-ES-2021_12.zip,8699399,faaac3189b87c9b417279900847633dd87a31db07bcfa256c9deb653cbd7413d,complete,
202112,GO,pda-024-icb-GO-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-GO-2021_12.zip,2026-08-24T11:15:51.325871+00:00,"Wed, 05 Aug 2026 12:12:16 GMT","""acfa85-6584baea4e25f""",11336325,202112/pda-024-icb-GO-2021_12.zip,11336325,3961f455476b91946afb25050efebc032d84545ee4271d8f7e0409685a3a0c2b,complete,
202112,MA,pda-024-icb-MA-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-MA-2021_12.zip,2026-08-24T11:16:17.712009+00:00,"Wed, 05 Aug 2026 12:12:21 GMT","""3c48f6-6584baef58f06""",3950838,202112/pda-024-icb-MA-2021_12.zip,3950838,ca99e772085a95121b5351634ac27eadf563303c2b643f40dcae2629ccc1f3a5,complete,
202112,MG,pda-024-icb-MG-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-MG-2021_12.zip,2026-08-24T11:17:10.550912+00:00,"Wed, 05 Aug 2026 12:11:07 GMT","""2cd6982-6584baa8985cd""",47016322,202112/pda-024-icb-MG-2021_12.zip,47016322,8b5b5e4ab84309a55e489f3ee7c5576967b208c313dfe35f2df1a2f6bd3ab12e,complete,
202112,MS,pda-024-icb-MS-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-MS-2021_12.zip,2026-08-24T11:18:02.260697+00:00,"Wed, 05 Aug 2026 12:12:22 GMT","""3d5c42-6584baf06928f""",4021314,202112/pda-024-icb-MS-2021_12.zip,4021314,2fc33ac685c823166d3a492805139dd62e990cce9acc66510e4d6d94311fed31,complete,
202112,MT,pda-024-icb-MT-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-MT-2021_12.zip,2026-08-24T11:18:36.793764+00:00,"Wed, 05 Aug 2026 12:11:09 GMT","""515f4d-6584baaa53f91""",5332813,202112/pda-024-icb-MT-2021_12.zip,5332813,0703e2aa54135a97473ebf969b38e39f5a8ec0f6f2d6738239807ca15c7f5b49,complete,
202112,PA,pda-024-icb-PA-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-PA-2021_12.zip,2026-08-24T11:18:52.621446+00:00,"Wed, 05 Aug 2026 12:11:10 GMT","""4db60b-6584baabbadd7""",5092875,202112/pda-024-icb-PA-2021_12.zip,5092875,1c03ae8c5f7dce023a8e173ac6bf3b0d09abfd031411b629ba63035449ba52ce,complete,
202112,PB,pda-024-icb-PB-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-PB-2021_12.zip,2026-08-24T11:19:17.791795+00:00,"Wed, 05 Aug 2026 12:12:23 GMT","""3aa7b3-6584baf161746""",3844019,202112/pda-024-icb-PB-2021_12.zip,3844019,5f7e1ae82ffbcda73c284337af0d7ab016ae94dad22540241b5cea286826fce3,complete,
202112,PE,pda-024-icb-PE-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-PE-2021_12.zip,2026-08-24T11:19:56.782736+00:00,"Wed, 05 Aug 2026 12:11:13 GMT","""9f3ebb-6584baae21dd4""",10436283,202112/pda-024-icb-PE-2021_12.zip,10436283,d710dd7bc645d4d1aecbaf8828c513795e56b5507e13ac5a024a816d73bae0f6,complete,
202112,PI,pda-024-icb-PI-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-PI-2021_12.zip,2026-08-24T11:20:19.716121+00:00,"Wed, 05 Aug 2026 12:12:24 GMT","""22089f-6584baf1f6238""",2230431,202112/pda-024-icb-PI-2021_12.zip,2230431,6a14c06fa887d50b25269c48c7266da157dee7b2022b02371a210a1eaafd84f4,complete,
202112,PR,pda-024-icb-PR-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-PR-2021_12.zip,2026-08-24T11:20:54.581794+00:00,"Wed, 05 Aug 2026 12:11:18 GMT","""175baa7-6584bab3c28f5""",24492711,202112/pda-024-icb-PR-2021_12.zip,24492711,c5140b8fad1992055c4af073401217a5b6c4a8cd2d6e15be3696b05ba32bc6c6,complete,
202112,RJ,pda-024-icb-RJ-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-RJ-2021_12.zip,2026-08-24T11:22:06.042727+00:00,"Wed, 05 Aug 2026 12:11:28 GMT","""1b1ebe5-6584babc71015""",28437477,202112/pda-024-icb-RJ-2021_12.zip,28437477,5bb85b9430099b015a94f3f4495f88de8ab8a506085e4e1bdf97316a33c5f0ec,complete,
202112,RN,pda-024-icb-RN-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-RN-2021_12.zip,2026-08-24T11:22:56.554966+00:00,"Wed, 05 Aug 2026 12:12:25 GMT","""461023-6584baf30a059""",4591651,202112/pda-024-icb-RN-2021_12.zip,4591651,025c4c58e5c57b6833f344206905ebd3f0ec6f79765fae32dc3e8862aec63f93,complete,
202112,RO,pda-024-icb-RO-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-RO-2021_12.zip,2026-08-24T11:23:16.632169+00:00,"Wed, 05 Aug 2026 12:11:29 GMT","""18dd1d-6584babd84a4e""",1629469,202112/pda-024-icb-RO-2021_12.zip,1629469,78581296a007195d88b96c53845d6195f581babc1b2ea635f62b3ffcabb5b6c0,complete,
202112,RR,pda-024-icb-RR-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-RR-2021_12.zip,2026-08-24T11:23:23.477910+00:00,"Wed, 05 Aug 2026 12:12:25 GMT","""33e0f-6584baf33a1e3""",212495,202112/pda-024-icb-RR-2021_12.zip,212495,668ace337ceec8a13dc1334f47a6573fcd0c0f06443fc5f335a532e0b564d690,complete,
202112,RS,pda-024-icb-RS-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-RS-2021_12.zip,2026-08-24T11:24:03.091729+00:00,"Wed, 05 Aug 2026 12:11:35 GMT","""149781b-6584bac375a9c""",21592091,202112/pda-024-icb-RS-2021_12.zip,21592091,66b5c0543de061f027a55221daa38f2d1e5fc4beb835e8b6a386bf3cb998bd27,complete,
202112,SC,pda-024-icb-SC-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-SC-2021_12.zip,2026-08-24T11:25:00.960977+00:00,"Wed, 05 Aug 2026 12:11:39 GMT","""f36a64-6584bac748ed0""",15952484,202112/pda-024-icb-SC-2021_12.zip,15952484,0c54e1eb2c720baccf73a0e58e335990f38a8384d83de370d892a374f222d711,complete,
202112,SE,pda-024-icb-SE-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-SE-2021_12.zip,2026-08-24T11:25:20.174428+00:00,"Wed, 05 Aug 2026 12:12:26 GMT","""2477aa-6584baf3d370d""",2389930,202112/pda-024-icb-SE-2021_12.zip,2389930,d74c1ef6313548f1ceda165c222adcb728632996c125658a020201bae357aa8c,complete,
202112,SP,pda-024-icb-SP-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-SP-2021_12.zip,2026-08-24T11:26:03.326854+00:00,"Wed, 05 Aug 2026 12:12:09 GMT","""797d7d2-6584bae3d8121""",127391698,202112/pda-024-icb-SP-2021_12.zip,127391698,595d4f1f003ed3de1470b8224fc2ea4e85d9a45f3a0df1111e16b68f83486a7d,complete,
202112,TO,pda-024-icb-TO-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-TO-2021_12.zip,2026-08-24T11:27:57.979033+00:00,"Wed, 05 Aug 2026 12:12:26 GMT","""1ac884-6584baf49d1a9""",1755268,202112/pda-024-icb-TO-2021_12.zip,1755268,7ccb65ca80ca6ed0de3356048498bb7fec0d218a23ddd36664f32a7e8d194096,complete,
202112,XX,pda-024-icb-XX-2021_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202112/pda-024-icb-XX-2021_12.zip,2026-08-24T11:28:04.248598+00:00,"Wed, 05 Aug 2026 12:12:09 GMT","""37baf-6584bae404fe4""",228271,202112/pda-024-icb-XX-2021_12.zip,228271,28fea9582770a27a62af4b26d7fb4cd2a34ca15bbd2840fd0e9f9f688c34af06,complete,
202212,AC,pda-024-icb-AC-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-AC-2022_12.zip,2026-08-24T11:28:11.449819+00:00,"Wed, 05 Aug 2026 12:30:34 GMT","""5f76a-6584bf0176c34""",391018,202212/pda-024-icb-AC-2022_12.zip,391018,5a7dd1fdf5b6784892a2ff7b6be4c8c7e3e7dc6a47de870d30ff4ef26e15f314,complete,
202212,AL,pda-024-icb-AL-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-AL-2022_12.zip,2026-08-24T11:28:18.016085+00:00,"Wed, 05 Aug 2026 12:30:34 GMT","""2f660a-6584bf023ff01""",3106314,202212/pda-024-icb-AL-2022_12.zip,3106314,89e43273d488e2472146c0717d7beb74a03dcd84be19a6e73bb87e201352699a,complete,
202212,AM,pda-024-icb-AM-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-AM-2022_12.zip,2026-08-24T11:28:26.363293+00:00,"Wed, 05 Aug 2026 12:30:35 GMT","""1783e7-6584bf02a735f""",1541095,202212/pda-024-icb-AM-2022_12.zip,1541095,7b462c09642c84d4a8e997c2519e661169e7648fc80f015ffeaa50e6e766760c,complete,
202212,AP,pda-024-icb-AP-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-AP-2022_12.zip,2026-08-24T11:28:32.790337+00:00,"Wed, 05 Aug 2026 12:30:35 GMT","""76652-6584bf02d460a""",484946,202212/pda-024-icb-AP-2022_12.zip,484946,6f9654109466a390b986ea6cf7136102eac6c9df22bfa62f6d883893bc8c3982,complete,
202212,BA,pda-024-icb-BA-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-BA-2022_12.zip,2026-08-24T11:29:04.529119+00:00,"Wed, 05 Aug 2026 12:30:44 GMT","""efbf3e-6584bf0b575d7""",15712062,202212/pda-024-icb-BA-2022_12.zip,15712062,09a607bfe284baaaf9d225d38849036739e1c4d5088cbda411e548b207206228,complete,
202212,CE,pda-024-icb-CE-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-CE-2022_12.zip,2026-08-24T11:29:42.456304+00:00,"Wed, 05 Aug 2026 12:30:53 GMT","""71cdef-6584bf14035e7""",7458287,202212/pda-024-icb-CE-2022_12.zip,7458287,afa975d6129a5a98cb00bcc8e6939bb1d0030ab1d2e5d208d96dcf7be948d507,complete,
202212,DF,pda-024-icb-DF-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-DF-2022_12.zip,2026-08-24T11:29:56.097373+00:00,"Wed, 05 Aug 2026 12:30:45 GMT","""26d488-6584bf0bfddf1""",2544776,202212/pda-024-icb-DF-2022_12.zip,2544776,ac2d60a799a01a44efda64667b3d951ab0b61727444cc08a081ef21787544ccc,complete,
202212,ES,pda-024-icb-ES-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-ES-2022_12.zip,2026-08-24T11:30:23.181252+00:00,"Wed, 05 Aug 2026 12:30:37 GMT","""86f5b6-6584bf04f4163""",8844726,202212/pda-024-icb-ES-2022_12.zip,8844726,544693507019aac5337e78657c6c69cf335a0f7198faab74fa7341b3dd04c0c6,complete,
202212,GO,pda-024-icb-GO-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-GO-2022_12.zip,2026-08-24T11:30:38.445204+00:00,"Wed, 05 Aug 2026 12:30:40 GMT","""b3d09d-6584bf07a7bf5""",11784349,202212/pda-024-icb-GO-2022_12.zip,11784349,bb194fa1d9e37bb332f4827965a1384ae4922fb7b0df6d366ad6eced6ffc1397,complete,
202212,MA,pda-024-icb-MA-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-MA-2022_12.zip,2026-08-24T11:30:51.754839+00:00,"Wed, 05 Aug 2026 12:30:46 GMT","""40b9e5-6584bf0d1664b""",4241893,202212/pda-024-icb-MA-2022_12.zip,4241893,960e739a4fa1365f926df27598c5dac66aa40e7c43e36ef029ede8e6d71964e5,complete,
202212,MG,pda-024-icb-MG-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-MG-2022_12.zip,2026-08-24T11:31:33.005109+00:00,"Wed, 05 Aug 2026 12:29:32 GMT","""3054bc2-6584bec63bf03""",50678722,202212/pda-024-icb-MG-2022_12.zip,50678722,247113ea6bdb06b0ef25f350d1fa77c0988c4266b22b4ce6ef8f19b1764ea6aa,complete,
202212,MS,pda-024-icb-MS-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-MS-2022_12.zip,2026-08-24T11:32:15.418922+00:00,"Wed, 05 Aug 2026 12:30:47 GMT","""43d31a-6584bf0e242c3""",4444954,202212/pda-024-icb-MS-2022_12.zip,4444954,7de7310d4ae7c616a5a60e12054836ddf8bb36735bbc3438cd7384bc005ffd84,complete,
202212,MT,pda-024-icb-MT-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-MT-2022_12.zip,2026-08-24T11:32:42.555917+00:00,"Wed, 05 Aug 2026 12:29:34 GMT","""54ea07-6584bec823fb9""",5564935,202212/pda-024-icb-MT-2022_12.zip,5564935,542b96ad95e1ba5d677ad2dc88eca7d82603b3bd6580f59bc6053587bf101049,complete,
202212,PA,pda-024-icb-PA-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-PA-2022_12.zip,2026-08-24T11:32:51.505405+00:00,"Wed, 05 Aug 2026 12:29:35 GMT","""519efd-6584bec974a86""",5349117,202212/pda-024-icb-PA-2022_12.zip,5349117,0991ff671ace8ca864aa0c0fd98f08ba8c36291b435e8d8e6502fcdcf6b8f218,complete,
202212,PB,pda-024-icb-PB-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-PB-2022_12.zip,2026-08-24T11:32:59.610571+00:00,"Wed, 05 Aug 2026 12:30:48 GMT","""3c88f1-6584bf0f2b5c3""",3967217,202212/pda-024-icb-PB-2022_12.zip,3967217,d0a956e6aefbe93f56c73497e046b6779fcd9b0461aabd02f6fc4c3fee086b70,complete,
202212,PE,pda-024-icb-PE-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-PE-2022_12.zip,2026-08-24T11:33:49.639285+00:00,"Wed, 05 Aug 2026 12:29:38 GMT","""a5ca62-6584becc0cbaf""",10865250,202212/pda-024-icb-PE-2022_12.zip,10865250,72a5129b02eb6b136c8754d91f4b6ce5fa18dceb9d2eec5bd7c6f534cfd7146c,complete,
202212,PI,pda-024-icb-PI-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-PI-2022_12.zip,2026-08-24T11:34:14.919342+00:00,"Wed, 05 Aug 2026 12:30:49 GMT","""240a83-6584bf0fc5e75""",2361987,202212/pda-024-icb-PI-2022_12.zip,2361987,6b41f87be465581492b73ea996af654380d8b1533f24af3997a6d9b009075fce,complete,
202212,PR,pda-024-icb-PR-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-PR-2022_12.zip,2026-08-24T11:34:51.531804+00:00,"Wed, 05 Aug 2026 12:29:44 GMT","""186620a-6584bed211865""",25584138,202212/pda-024-icb-PR-2022_12.zip,25584138,d6cf2192029896f6953b6b0d97c1369ee5f673c15f49f8550c132d31bd414277,complete,
202212,RJ,pda-024-icb-RJ-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-RJ-2022_12.zip,2026-08-24T11:35:34.983765+00:00,"Wed, 05 Aug 2026 12:29:51 GMT","""1bdffe1-6584bed91ad23""",29229025,202212/pda-024-icb-RJ-2022_12.zip,29229025,6dc8f428b04f2d277c4a19dd28bbf2cf19f4c55c8281371327fcf3b82516f08d,complete,
202212,RN,pda-024-icb-RN-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-RN-2022_12.zip,2026-08-24T11:36:10.401057+00:00,"Wed, 05 Aug 2026 12:30:50 GMT","""4890df-6584bf10ef83f""",4755679,202212/pda-024-icb-RN-2022_12.zip,4755679,0537a078b89788117b470e7cc02a489ba456867e61e7a2f8d73a899f1449467a,complete,
202212,RO,pda-024-icb-RO-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-RO-2022_12.zip,2026-08-24T11:36:32.745327+00:00,"Wed, 05 Aug 2026 12:29:52 GMT","""19ae27-6584bed9bceed""",1682983,202212/pda-024-icb-RO-2022_12.zip,1682983,6797d556e553619f9a967d0c9e0f669d19530a4cbb2a4c8f3dc16e9dc11a8477,complete,
202212,RR,pda-024-icb-RR-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-RR-2022_12.zip,2026-08-24T11:36:38.319118+00:00,"Wed, 05 Aug 2026 12:30:50 GMT","""36a32-6584bf1111739""",223794,202212/pda-024-icb-RR-2022_12.zip,223794,97dfeb08a5406c25de4eb19c46f75e8bd50fcf7e3687122eefe6d9f0e940a9e1,complete,
202212,RS,pda-024-icb-RS-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-RS-2022_12.zip,2026-08-24T11:37:17.404543+00:00,"Wed, 05 Aug 2026 12:29:58 GMT","""1573db4-6584bedf4a18c""",22494644,202212/pda-024-icb-RS-2022_12.zip,22494644,a9aca7a8e5f55e350147c8afc9f28f75a6522de419e51d677f1b7b123c27b4a0,complete,
202212,SC,pda-024-icb-SC-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-SC-2022_12.zip,2026-08-24T11:38:12.840306+00:00,"Wed, 05 Aug 2026 12:30:02 GMT","""103be01-6584bee3538f4""",17022465,202212/pda-024-icb-SC-2022_12.zip,17022465,5024cbeff2657a37e4334266962d7c56bdd6a0387f25b7704b07e5c428469888,complete,
202212,SE,pda-024-icb-SE-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-SE-2022_12.zip,2026-08-24T11:38:38.765274+00:00,"Wed, 05 Aug 2026 12:30:51 GMT","""2696a0-6584bf11b5c2b""",2528928,202212/pda-024-icb-SE-2022_12.zip,2528928,dc9692d114a8e6c0c86e9abfa2e60f8c1fa79e611024a43c170b6df50f140ea0,complete,
202212,SP,pda-024-icb-SP-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-SP-2022_12.zip,2026-08-24T11:39:42.716541+00:00,"Wed, 05 Aug 2026 12:30:33 GMT","""7d3f3e8-6584bf0132288""",131331048,202212/pda-024-icb-SP-2022_12.zip,131331048,fe1f063649a03495423facce32741558036587fdf35112c38ffd80e41de9506d,complete,
202212,TO,pda-024-icb-TO-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-TO-2022_12.zip,2026-08-24T11:41:48.319466+00:00,"Wed, 05 Aug 2026 12:30:51 GMT","""1c0cd0-6584bf12487dc""",1838288,202212/pda-024-icb-TO-2022_12.zip,1838288,9848d3537316573f6c6ceb2005912935d9098090ab2ebea660bc3292d1838064,complete,
202212,XX,pda-024-icb-XX-2022_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202212/pda-024-icb-XX-2022_12.zip,2026-08-24T11:41:55.371082+00:00,"Wed, 05 Aug 2026 12:30:33 GMT","""31c41-6584bf014c86a""",203841,202212/pda-024-icb-XX-2022_12.zip,203841,372b720640a337d972db854f8c971d354a6d0b06ef96f20c7781c8e35cd493d9,complete,
202312,AC,pda-024-icb-AC-2023_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202312/pda-024-icb-AC-2023_12.zip,2026-08-24T11:42:04.150758+00:00,"Wed, 05 Aug 2026 12:49:37 GMT","""608fb-6584c3444c358""",395515,202312/pda-024-icb-AC-2023_12.zip,395515,1af5351986c8494ca60307a32e0b29b2c786b9b30bc280837a30f1e6890de631,complete,
